"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2013"	"2013"	"Delaware"	"10"	106	925749	11.5
	"2013"	"2013"	"District of Columbia"	"11"	73	646449	11.3
	"2013"	"2013"	"Florida"	"12"	2200	19552860	11.3
	"2013"	"2013"	"Georgia"	"13"	776	9992167	7.8
	"2013"	"2013"	"Hawaii"	"15"	98	1404054	7.0
	"2013"	"2013"	"Idaho"	"16"	192	1612136	11.9
	"2013"	"2013"	"Illinois"	"17"	918	12882135	7.1
	"2013"	"2013"	"Indiana"	"18"	594	6570902	9.0
	"2013"	"2013"	"Iowa"	"19"	313	3090416	10.1
	"2013"	"2013"	"Kansas"	"20"	262	2893957	9.1
	"2013"	"2013"	"Kentucky"	"21"	605	4395295	13.8
	"2013"	"2013"	"Louisiana"	"22"	331	4625470	7.2
	"2013"	"2013"	"Maine"	"23"	213	1328302	16.0
	"2013"	"2013"	"Maryland"	"24"	540	5928814	9.1
	"2013"	"2013"	"Massachusetts"	"25"	617	6692824	9.2
	"2013"	"2013"	"Michigan"	"26"	809	9895622	8.2
	"2013"	"2013"	"Minnesota"	"27"	590	5420380	10.9
	"2013"	"2013"	"Mississippi"	"28"	149	2991207	5.0
	"2013"	"2013"	"Missouri"	"29"	656	6044171	10.9
	"2013"	"2013"	"Montana"	"30"	159	1015165	15.7
	"2013"	"2013"	"Nebraska"	"31"	121	1868516	6.5
	"2013"	"2013"	"Nevada"	"32"	444	2790136	15.9
	"2013"	"2013"	"New Hampshire"	"33"	167	1323459	12.6
	"2013"	"2013"	"New Jersey"	"34"	615	8899339	6.9
	"2013"	"2013"	"New Mexico"	"35"	407	2085287	19.5
	"2013"	"2013"	"New York"	"36"	1748	19651127	8.9
	"2013"	"2013"	"North Carolina"	"37"	918	9848060	9.3
	"2013"	"2013"	"North Dakota"	"38"	90	723393	12.4
	"2013"	"2013"	"Ohio"	"39"	1292	11570808	11.2
	"2013"	"2013"	"Oklahoma"	"40"	624	3850568	16.2
	"2013"	"2013"	"Oregon"	"41"	721	3930065	18.3
	"2013"	"2013"	"Pennsylvania"	"42"	934	12773801	7.3
	"2013"	"2013"	"Rhode Island"	"44"	176	1051511	16.7
	"2013"	"2013"	"South Carolina"	"45"	307	4774839	6.4
	"2013"	"2013"	"South Dakota"	"46"	94	844877	11.1
	"2013"	"2013"	"Tennessee"	"47"	908	6495978	14.0
	"2013"	"2013"	"Texas"	"48"	1524	26448193	5.8
	"2013"	"2013"	"Utah"	"49"	555	2900872	19.1
	"2013"	"2013"	"Vermont"	"50"	104	626630	16.6
	"2013"	"2013"	"Virginia"	"51"	719	8260405	8.7
	"2013"	"2013"	"Washington"	"53"	891	6971406	12.8
	"2013"	"2013"	"West Virginia"	"54"	560	1854304	30.2
	"2013"	"2013"	"Wisconsin"	"55"	695	5742713	12.1
	"2013"	"2013"	"Wyoming"	"56"	83	582658	14.2
"Total"	"2013"	"2013"			30530	316128839	9.7
	"2014"	"2014"	"Alabama"	"01"	284	4849377	5.9
	"2014"	"2014"	"Alaska"	"02"	112	736732	15.2
	"2014"	"2014"	"Arizona"	"04"	821	6731484	12.2
	"2014"	"2014"	"Arkansas"	"05"	289	2966369	9.7
	"2014"	"2014"	"California"	"06"	3301	38802500	8.5
	"2014"	"2014"	"Colorado"	"08"	694	5355866	13.0
	"2014"	"2014"	"Connecticut"	"09"	318	3596677	8.8
	"2014"	"2014"	"Delaware"	"10"	128	935614	13.7
	"2014"	"2014"	"District of Columbia"	"11"	71	658893	10.8
	"2014"	"2014"	"Florida"	"12"	2208	19893297	11.1
	"2014"	"2014"	"Georgia"	"13"	823	10097343	8.2
